country,year,choc_kg_per_capita,interpersonal_violence_deaths,drowing_deaths,drug_deaths,alzheimer_and_dementias_deaths,aids_vih_deaths,neoplasms_deaths,road_injuries_deaths,digestive_diseases_deaths,chronic_resp_diseases_deaths
Afghanistan,1993,0.000000000,2589,1687,132,1187,56,12634,5681,5568,6445
Afghanistan,1994,0.000000000,2849,1809,142,1211,63,12914,6001,5739,6664
Afghanistan,1995,0.000000000,2969,1881,151,1225,71,13106,6211,5843,6823
Afghanistan,1996,0.000000000,3331,1969,159,1239,78,13335,6446,5966,7000
Afghanistan,1997,0.000000000,3028,2078,168,1253,84,13572,6677,6096,7168
Afghanistan,1998,0.000000000,3098,2098,173,1267,89,13695,6683,6154,7287
Afghanistan,1999,0.000000000,2917,2084,178,1281,93,13811,6603,6182,7400
Afghanistan,1991,0.000000000,2001,1391,102,1136,41,11796,4472,5120,6050
Afghanistan,2000,0.000000000,2871,2048,186,1291,97,13977,6581,6206,7471
Afghanistan,1992,0.000000000,2299,1514,118,1162,48,12218,5106,5335,6223
Afghanistan,2001,0.000000000,2971,2044,197,1300,104,14312,6720,6277,7565
Afghanistan,2002,0.010572727,3277,1980,202,1311,111,14437,6696,6246,7455
Afghanistan,2003,0.030623794,3458,2282,216,1326,118,14951,7243,6443,7471
Afghanistan,2004,0.030592835,3479,2386,229,1344,125,15360,7522,6541,7477
Afghanistan,2005,0.050921306,3506,2315,239,1362,132,15556,7577,6528,7391
Afghanistan,2006,0.060443472,3609,2235,245,1381,140,15724,7484,6494,7310
Afghanistan,2007,0.020344121,3657,2127,252,1402,148,15925,7425,6458,7222
Afghanistan,2008,0.010228854,3785,1973,261,1424,157,16148,7355,6408,7143
Afghanistan,2009,0.000000000,3874,1852,270,1449,167,16383,7290,6358,7045
Afghanistan,1990,0.000000000,1538,1370,93,1116,34,11580,4154,5005,5945
Afghanistan,2010,0.000000000,4130,1837,281,1476,176,16718,7379,6367,6969
Afghanistan,2014,0.020400282,4420,1757,326,1620,213,18462,8087,6522,6851
Albania,1990,0.000000000,177,147,5,360,1,2616,395,648,1006
Albania,1991,0.000000000,207,160,7,363,1,2698,421,662,1009
Albania,1992,0.208672730,232,154,7,365,1,2642,400,644,967
Albania,1993,0.393387500,258,148,10,368,2,2586,366,621,922
Albania,1994,0.369835970,286,144,15,373,2,2493,318,577,855
Albania,1995,0.276052950,327,142,17,382,2,2614,297,560,851
Albania,1996,0.337027460,369,138,17,391,2,2756,283,540,850
Albania,1997,0.184275180,447,127,17,400,2,2871,288,522,832
Albania,1998,0.164594530,480,126,21,411,2,2963,297,499,804
Albania,1999,0.279235040,404,112,18,425,2,3030,274,472,775
Albania,2000,0.436231340,309,91,21,438,2,3073,259,451,753
Albania,2001,0.573088350,250,80,26,451,2,3044,257,429,706
Albania,2002,0.491132860,204,76,30,471,2,3190,268,427,711
Albania,2003,0.387466130,164,70,31,489,2,3388,287,438,734
Albania,2004,0.430532070,128,64,30,501,2,3463,290,438,716
Albania,2005,0.474240870,92,53,23,514,2,3468,276,433,676
Albania,2006,0.539989650,77,45,21,527,2,3395,260,420,622
Albania,2007,0.553182360,76,44,23,543,2,3357,258,413,586
Albania,2008,0.545473930,71,42,23,567,2,3471,261,423,583
Albania,2009,0.462346200,62,40,19,590,2,3528,249,428,578
Albania,2010,0.000000000,66,41,21,616,2,3617,252,436,587
Algeria,1990,0.000000000,491,1207,171,1337,44,10571,13438,3981,4410
Algeria,1991,0.010290845,484,1136,179,1411,50,10917,13120,4033,4481
Algeria,1992,0.545587900,497,1111,192,1494,57,11145,13115,4083,4571
Algeria,1993,0.082350410,513,1092,205,1582,64,11386,13154,4136,4668
Algeria,1994,0.092628755,553,1086,223,1675,72,11629,13326,4193,4773
Algeria,1995,0.144114630,600,1061,239,1763,80,11865,13374,4242,4846
Algeria,1996,0.236827160,559,1035,256,1855,90,12034,13410,4281,4903
Algeria,1997,0.360318180,831,1042,274,1945,101,12203,13558,4339,4960
Algeria,1998,0.267779100,736,1016,290,2037,113,12338,13525,4379,4993
Algeria,1999,0.288580200,616,1001,310,2129,118,12640,13631,4469,5080
Algeria,2000,0.267978580,621,963,327,2219,123,12910,13538,4533,5124
Algeria,2001,0.267908220,627,921,341,2313,137,13167,13410,4600,5179
Algeria,2002,0.370794980,628,873,354,2411,155,13499,13224,4648,5240
Algeria,2003,0.411818360,622,815,355,2508,175,13869,12701,4684,5270
Algeria,2004,0.473453500,585,783,364,2618,196,14377,12535,4747,5353
Algeria,2005,0.494627330,567,748,373,2732,217,14916,12320,4801,5437
Algeria,2006,0.495388630,554,719,380,2847,244,15400,12077,4848,5509
Algeria,2007,0.619653460,535,686,386,2976,278,15949,11847,4899,5594
Algeria,2008,0.909411970,536,660,392,3102,297,16524,11643,4950,5679
Algeria,2009,0.723606940,535,636,399,3247,318,17155,11450,5015,5788
Algeria,2010,0.000000000,530,614,406,3401,329,17706,11270,5078,5887
Angola,1990,0.008736420,458,1093,19,293,239,4883,5062,4481,2794
Angola,1991,0.008711475,465,1117,20,303,361,5010,5216,4580,2847
Angola,1992,0.008710067,481,1135,21,315,531,5168,5433,4707,2911
Angola,1993,0.008722011,506,1180,23,326,762,5367,5753,4876,3006
Angola,1994,0.017446103,531,1214,24,336,1067,5549,6061,5041,3091
Angola,1995,0.000000000,534,1226,24,347,1456,5650,6210,5097,3136
Angola,1996,0.008657231,505,1202,24,359,1937,5652,6157,5013,3121
Angola,1997,0.017202437,505,1220,24,373,2514,5779,6372,5050,3151
Angola,1998,0.017099127,549,1265,27,391,3186,6081,7004,5261,3249
Angola,1999,0.008513141,572,1298,28,409,3947,6351,7612,5414,3326
Angola,2000,0.025481780,582,1302,29,426,4784,6513,7978,5489,3360
Angola,2001,0.042454710,597,1302,30,443,5685,6608,8158,5533,3361
Angola,2002,0.042495094,605,1291,30,464,6630,6751,8265,5569,3369
Angola,2003,0.059559114,626,1285,32,487,7600,7018,8539,5722,3424
Angola,2004,0.110649180,659,1355,34,513,8557,7380,9112,5973,3518
Angola,2005,0.085054920,672,1331,34,536,9398,7518,9106,6047,3491
Angola,2006,0.110396914,698,1300,36,564,9927,7770,9212,6217,3506
Angola,2007,0.110125480,729,1280,38,589,10340,7969,9294,6357,3486
Angola,2008,0.135086860,760,1242,40,619,10889,8294,9360,6585,3519
Angola,2009,0.168182640,791,1188,43,653,11433,8640,9360,6873,3523
Angola,2010,0.000000000,824,1170,45,690,12036,9025,9512,7181,3547
Antigua and Barbuda,1990,0.391500650,2,4,0,12,7,75,6,17,7
Antigua and Barbuda,1991,0.477275220,2,4,0,13,5,77,6,17,7
Antigua and Barbuda,1992,0.350671050,3,4,0,13,6,79,6,17,7
Antigua and Barbuda,1993,0.454069170,3,4,0,13,7,84,7,18,8
Antigua and Barbuda,1994,0.219701600,3,4,0,13,9,85,7,18,8
Antigua and Barbuda,1995,0.298171520,4,4,0,13,9,86,7,18,8
Antigua and Barbuda,1996,0.651703700,3,4,0,13,10,80,7,17,7
Antigua and Barbuda,1997,0.424522340,3,4,0,13,8,80,7,17,7
Antigua and Barbuda,1998,0.417969670,3,4,0,13,8,81,7,17,7
Antigua and Barbuda,1999,0.545555500,3,4,1,14,10,83,7,17,7
